ALDER;KØN;TID;INDHOLD
5;M;2058;37520
5;M;2059;37917
5;M;2060;38287
5;K;2019;28597
5;K;2020;28846
5;K;2021;29380
5;K;2022;30779
5;K;2023;30740
5;K;2024;31956
5;K;2025;32444
5;K;2026;32935
5;K;2027;33454
5;K;2028;34029
5;K;2029;34636
5;K;2030;35174
5;K;2031;35544
5;K;2032;35745
5;K;2033;35826
5;K;2034;35826
5;K;2035;35773
5;K;2036;35685
5;K;2037;35575
5;K;2038;35450
5;K;2039;35314
5;K;2040;35164
5;K;2041;34998
5;K;2042;34811
5;K;2043;34604
5;K;2044;34380
5;K;2045;34147
5;K;2046;33924
5;K;2047;33727
5;K;2048;33575
5;K;2049;33488
5;K;2050;33476
5;K;2051;33541
5;K;2052;33686
5;K;2053;33903
5;K;2054;34184
5;K;2055;34515
5;K;2056;34882
5;K;2057;35269
5;K;2058;35659
5;K;2059;36036
5;K;2060;36388
6;M;2019;31302
6;M;2020;29998
6;M;2021;30547
6;M;2022;30952
6;M;2023;32776
6;M;2024;32286
6;M;2025;33653
6;M;2026;34170
6;M;2027;34690
6;M;2028;35237
6;M;2029;35842
6;M;2030;36483
6;M;2031;37050
6;M;2032;37440
6;M;2033;37652
6;M;2034;37736
6;M;2035;37737
6;M;2036;37683
6;M;2037;37590
6;M;2038;37476
6;M;2039;37346
6;M;2040;37202
6;M;2041;37044
6;M;2042;36870
6;M;2043;36674
6;M;2044;36454
6;M;2045;36219
6;M;2046;35974
6;M;2047;35739
6;M;2048;35531
6;M;2049;35372
6;M;2050;35280
6;M;2051;35266
6;M;2052;35335
6;M;2053;35488
6;M;2054;35717
6;M;2055;36012
6;M;2056;36362
6;M;2057;36749
6;M;2058;37158
6;M;2059;37569
6;M;2060;37967
6;K;2019;29427
6;K;2020;28696
6;K;2021;28921
6;K;2022;29448
6;K;2023;30837
6;K;2024;30794
6;K;2025;32003
6;K;2026;32491
6;K;2027;32982
6;K;2028;33501
6;K;2029;34072
6;K;2030;34679
6;K;2031;35217
6;K;2032;35584
6;K;2033;35787
6;K;2034;35867
6;K;2035;35867
6;K;2036;35815
6;K;2037;35726
6;K;2038;35616
6;K;2039;35492
6;K;2040;35355
6;K;2041;35205
6;K;2042;35039
6;K;2043;34853
6;K;2044;34644
6;K;2045;34420
6;K;2046;34189
6;K;2047;33964
6;K;2048;33766
6;K;2049;33615
6;K;2050;33529
6;K;2051;33515
6;K;2052;33581
6;K;2053;33725
6;K;2054;33942
6;K;2055;34223
6;K;2056;34555
6;K;2057;34922
6;K;2058;35309
6;K;2059;35699
6;K;2060;36077
7;M;2019;31545
7;M;2020;31407
7;M;2021;30079
7;M;2022;30613
7;M;2023;31011
7;M;2024;32831
7;M;2025;32338
7;M;2026;33702
7;M;2027;34222
7;M;2028;34740
7;M;2029;35290
7;M;2030;35894
7;M;2031;36533
7;M;2032;37102
7;M;2033;37490
7;M;2034;37703
7;M;2035;37789
7;M;2036;37789
7;M;2037;37735
7;M;2038;37643
7;M;2039;37526
7;M;2040;37397
7;M;2041;37253
7;M;2042;37096
7;M;2043;36921
7;M;2044;36725
7;M;2045;36505
7;M;2046;36270
7;M;2047;36026
7;M;2048;35789
7;M;2049;35580
7;M;2050;35422
7;M;2051;35330
7;M;2052;35316
7;M;2053;35386
7;M;2054;35538
7;M;2055;35767
7;M;2056;36062
7;M;2057;36412
7;M;2058;36799
7;M;2059;37208
7;M;2060;37619
7;K;2019;30441
7;K;2020;29536
7;K;2021;28779
7;K;2022;28988
7;K;2023;29510
7;K;2024;30898
7;K;2025;30847
7;K;2026;32059
7;K;2027;32548
7;K;2028;33039
7;K;2029;33557
7;K;2030;34130
7;K;2031;34737
7;K;2032;35273
7;K;2033;35642
7;K;2034;35843
7;K;2035;35926
7;K;2036;35926
7;K;2037;35873
7;K;2038;35786
7;K;2039;35675
7;K;2040;35552
7;K;2041;35415
7;K;2042;35265
7;K;2043;35099
7;K;2044;34912
7;K;2045;34705
7;K;2046;34480
7;K;2047;34248
7;K;2048;34023
7;K;2049;33826
7;K;2050;33675
7;K;2051;33588
7;K;2052;33573
7;K;2053;33639
7;K;2054;33783
7;K;2055;34000
7;K;2056;34281
7;K;2057;34613
7;K;2058;34981
7;K;2059;35368
7;K;2060;35759
8;M;2019;34089
8;M;2020;31664
8;M;2021;31496
8;M;2022;30154
8;M;2023;30677
8;M;2024;31072
8;M;2025;32890
8;M;2026;32395
8;M;2027;33758
8;M;2028;34278
8;M;2029;34797
8;M;2030;35346
8;M;2031;35950
8;M;2032;36592
8;M;2033;37158
8;M;2034;37548
8;M;2035;37761
8;M;2036;37845
8;M;2037;37847
8;M;2038;37791
8;M;2039;37700
8;M;2040;37585
8;M;2041;37454
8;M;2042;37311
8;M;2043;37154
8;M;2044;36978
8;M;2045;36782
8;M;2046;36564
8;M;2047;36328
8;M;2048;36083
8;M;2049;35846
8;M;2050;35638
8;M;2051;35480
8;M;2052;35387
8;M;2053;35373
8;M;2054;35442
8;M;2055;35595
8;M;2056;35823
8;M;2057;36119
8;M;2058;36469
8;M;2059;36856
8;M;2060;37265
8;K;2019;32417
8;K;2020;30537
8;K;2021;29613
8;K;2022;28842
8;K;2023;29041
8;K;2024;29563
8;K;2025;30952
8;K;2026;30900
8;K;2027;32109
8;K;2028;32601
8;K;2029;33091
8;K;2030;33610
8;K;2031;34183
8;K;2032;34790
8;K;2033;35327
8;K;2034;35694
8;K;2035;35896
8;K;2036;35978
8;K;2037;35978
8;K;2038;35926
8;K;2039;35838
8;K;2040;35729
8;K;2041;35604
8;K;2042;35468
8;K;2043;35317
8;K;2044;35152
8;K;2045;34964
8;K;2046;34757
8;K;2047;34532
8;K;2048;34300
8;K;2049;34075
8;K;2050;33876
8;K;2051;33725
8;K;2052;33638
8;K;2053;33625
8;K;2054;33691
8;K;2055;33834
8;K;2056;34051
8;K;2057;34332
8;K;2058;34664
8;K;2059;35032
8;K;2060;35420
9;M;2019;34022
9;M;2020;34210
9;M;2021;31764
9;M;2022;31575
9;M;2023;30226
9;M;2024;30745
9;M;2025;31145
9;M;2026;32967
9;M;2027;32472
9;M;2028;33837
9;M;2029;34359
9;M;2030;34880
9;M;2031;35429
9;M;2032;36035
9;M;2033;36676
9;M;2034;37243
9;M;2035;37632
9;M;2036;37846
9;M;2037;37932
9;M;2038;37933
9;M;2039;37879
9;M;2040;37786
9;M;2041;37671
9;M;2042;37540
9;M;2043;37397
9;M;2044;37239
9;M;2045;37064
9;M;2046;36868
9;M;2047;36650
9;M;2048;36413
9;M;2049;36169
9;M;2050;35932
9;M;2051;35723
9;M;2052;35564
9;M;2053;35472
9;M;2054;35457
9;M;2055;35528
9;M;2056;35680
9;M;2057;35909
9;M;2058;36205
9;M;2059;36554
9;M;2060;36942
9;K;2019;32128
9;K;2020;32524
9;K;2021;30621
9;K;2022;29682
9;K;2023;28900
9;K;2024;29093
9;K;2025;29619
9;K;2026;31009
9;K;2027;30955
9;K;2028;32164
9;K;2029;32655
9;K;2030;33147
9;K;2031;33669
9;K;2032;34241
9;K;2033;34848
9;K;2034;35386
9;K;2035;35754
9;K;2036;35955
9;K;2037;36036
9;K;2038;36037
9;K;2039;35984
9;K;2040;35896
9;K;2041;35787
9;K;2042;35663
9;K;2043;35527
9;K;2044;35378
9;K;2045;35210
9;K;2046;35023
9;K;2047;34816
9;K;2048;34591
9;K;2049;34358
9;K;2050;34134
9;K;2051;33935
9;K;2052;33784
9;K;2053;33696
9;K;2054;33683
9;K;2055;33748
9;K;2056;33892
9;K;2057;34109
9;K;2058;34390
9;K;2059;34722
9;K;2060;35090
10;M;2019;35422
10;M;2020;34133
10;M;2021;34301
10;M;2022;31839
10;M;2023;31640
10;M;2024;30287
10;M;2025;30805
10;M;2026;31208
10;M;2027;33033
10;M;2028;32537
10;M;2029;33904
10;M;2030;34426
10;M;2031;34949
10;M;2032;35500
10;M;2033;36106
10;M;2034;36747
10;M;2035;37315
10;M;2036;37705
10;M;2037;37919
10;M;2038;38004
10;M;2039;38006
10;M;2040;37950
10;M;2041;37859
10;M;2042;37744
10;M;2043;37614
10;M;2044;37470
10;M;2045;37313
10;M;2046;37137
10;M;2047;36941
10;M;2048;36721
10;M;2049;36485
10;M;2050;36240
10;M;2051;36003
10;M;2052;35795
10;M;2053;35635
10;M;2054;35544
10;M;2055;35530
10;M;2056;35599
10;M;2057;35750
10;M;2058;35980
10;M;2059;36277
10;M;2060;36627
10;K;2019;33209
10;K;2020;32220
10;K;2021;32599
10;K;2022;30682
10;K;2023;29736
10;K;2024;28949
10;K;2025;29138
10;K;2026;29666
10;K;2027;31057
10;K;2028;31005
10;K;2029;32214
10;K;2030;32705
10;K;2031;33199
10;K;2032;33720
10;K;2033;34291
10;K;2034;34898
10;K;2035;35435
10;K;2036;35803
10;K;2037;36004
10;K;2038;36086
10;K;2039;36087
10;K;2040;36034
10;K;2041;35947
10;K;2042;35837
10;K;2043;35714
10;K;2044;35577
10;K;2045;35427
10;K;2046;35261
10;K;2047;35073
10;K;2048;34866
10;K;2049;34641
10;K;2050;34408
10;K;2051;34183
10;K;2052;33984
10;K;2053;33833
10;K;2054;33746
10;K;2055;33732
10;K;2056;33796
10;K;2057;33941
10;K;2058;34159
10;K;2059;34440
10;K;2060;34771
11;M;2019;34644
11;M;2020;35512
11;M;2021;34209
11;M;2022;34367
11;M;2023;31895
11;M;2024;31688
11;M;2025;30335
11;M;2026;30853
11;M;2027;31260
11;M;2028;33089
11;M;2029;32595
11;M;2030;33962
11;M;2031;34487
11;M;2032;35010
11;M;2033;35561
11;M;2034;36169
11;M;2035;36813
11;M;2036;37380
11;M;2037;37771
11;M;2038;37983
11;M;2039;38070
11;M;2040;38070
11;M;2041;38016
11;M;2042;37924
11;M;2043;37809
11;M;2044;37679
11;M;2045;37536
11;M;2046;37378
11;M;2047;37203
11;M;2048;37006
11;M;2049;36787
11;M;2050;36550
11;M;2051;36306
11;M;2052;36069
11;M;2053;35861
11;M;2054;35701
11;M;2055;35609
11;M;2056;35595
11;M;2057;35664
11;M;2058;35816
11;M;2059;36046
11;M;2060;36343
11;K;2019;32943
